"date","transaction_details","debit","credit","net_amount"
"2024-03-06","Puff Purchase",,500,-500
"2024-03-06","Donation",,10,-10
"2024-03-06","Akash and Rathna daily salary - 06/03/2024",,450,-450
"2024-03-06","Water CAN",,540,-540
"2024-03-06","Sales - 05-03-2024",250,,250
"2024-03-07","Puff Purchase",,354,-354
"2024-03-07"," Rathna daily salary - 07/03/2024",,200,-200
"2024-03-07","Cash Deposit to Bank",,100,-100
"2024-03-07","Sales - 06-03-2024",1495,,1495
"2024-03-08","Puff Purchase",,404,-404
"2024-03-08","Corn Flakes Purchase",,20,-20
"2024-03-08","Sales - 07-03-2024",555,,555
"2024-03-09","Puff Purchase",,515,-515
"2024-03-09"," Rathna daily salary - 09/03/2024",,200,-200
"2024-03-09","Sales - 08-03-2024",1060,,1060
"2024-03-09","8 Inch Plates, Crush,  Peanut chikki, corn, ginger purchase",,1145,-1145
"2024-03-10","Sales - 09-03-2024",880,,880
"2024-03-10","Bharath paid 500 for Garbage in Bank",,500,-500
"2024-03-10"," Rathna daily salary and Ajim Salary advance - 10/03/2024",,700,-700
"2024-03-11","Puff Purchase - 2 days",,832,-832
"2024-03-11"," Rathna daily salary - 11/03/2024",,300,-300
"2024-03-11","Sales - 10-03-2024",745,,745
"2024-03-12","Puff Purchase",,450,-450
"2024-03-12","Sales - 11-03-2024",1080,,1080
"2024-03-12"," Rathna daily salary - 12/03/2024",,200,-200
"2024-03-13","Sales - 12-03-2024",530,,530
"2024-03-14","Cash deposit",,1000,-1000
"2024-03-14","Sales - 13-03-2024",751,,751
"2024-03-14","Ice Cube Purchase",,100,-100
"2024-03-14","Water CAN",,260,-260
"2024-03-14"," Rathna daily salary - 14/03/2024",,250,-250
"2024-03-14","Puff Purchase - 2 days",,870,-870
"2024-03-15","Sales - 14-03-2024",1435,,1435
"2024-03-15","Puff Purchase",,476,-476
"2024-03-15","Gomathy and Ruben daily salary - 15/03/2024",,500,-500
"2024-03-16","Sales - 15-03-2024",840,,840
"2024-03-16","Puff Purchase",,384,-384
"2024-03-16","Water CAN",,100,-100
"2024-03-16","Gomathy and Ruben daily salary - 16/03/2024",,500,-500
"2024-03-16","Water Bottle Purchase",,330,-330
"2023-12-13","CCTV - Part payment",15000,,15000
"2023-12-16","CCTV Final Payment",4500,,4500
"2023-12-20","Coffee Powder Purchase - 10 KG",3680,,3680
"2024-02-06","Coffee Powder Purchase",5830,,5830
"2024-03-15","Coffee Powder Purchase - 10 KG",5840,,5840
"2023-12-21","2nd Hand Laptop Purchase",18000,,18000
"2023-12-24","Billing Printer Purchase",7500,,7500
"2024-01-25","Donation",20,,20
"2024-01-28","Donation",10,,10
"2024-02-01","Donation",5,,5
"2024-02-04","Donation",5,,5
"2024-02-05","Donation",5,,5
"2024-02-06","Donation",10,,10
"2024-02-08","Donation",5,,5
"2024-02-14","Donation",5,,5
"2024-02-15","Donation",5,,5
"2024-02-20","Donation",50,,50
"2024-02-27","Donation",5,,5
"2024-03-02","Donation",5,,5
"2024-03-05","Donation",10,,10
"2024-03-06","Donation",10,,10
"2023-09-25","Loan from Dorai",,100000,-100000
"2023-10-09","Loan from Dorai",,100000,-100000
"2023-12-01","Shop Interior - Part Payment",,50000,-50000
"2023-12-21","2nd Hand Laptop Purchase",,18000,-18000
"2023-12-21","Part Payment to Interior",,55000,-55000
"2023-12-22","Masz Designs signboard payment",,30000,-30000
"2023-12-22","Carton box purchase",,4000,-4000
"2023-12-29","Bank Transfer",,4000,-4000
"2023-12-29","Recruitment expense",,36000,-36000
"2023-12-30","Excess Money received transferred to Loan Account",14500,,14500
"2024-03-16","Capital Increase",,22500,-22500
"2023-12-30","Switch and Bulb purchase",65,,65
"2023-12-31","Soda, lemon, samosa, tissue  purchase and tripper switch",110,,110
"2024-01-24","switch purchase",40,,40
"2024-02-09","Electrical items purchase of oven switch box",133,,133
"2023-12-30","Electricity Expense - Oct to Dec'23",2084,,2084
"2024-03-16","Electricity Expense",31152,,31152
"2024-01-05","Dinesh - Food and Slipper purchase",300,,300
"2024-01-06","Dinesh - Food ",100,,100
"2024-01-07","Dinesh - Food ",100,,100
"2024-01-07","Dinesh - Hostel Fee",5500,,5500
"2024-01-08","Dinesh - Food ",50,,50
"2024-01-09","Dinesh - Travel expense",1000,,1000
"2024-01-13","Aravind - Hostel Fee",5500,,5500
"2024-01-14","Aravind - Food",100,,100
"2024-01-15","Aravind - Food",100,,100
"2024-01-16","Aravind - Food",100,,100
"2024-01-17","Aravind - Food",100,,100
"2024-01-26","Aravind - Food",100,,100
"2024-01-29","Aravind - Food",100,,100
"2024-02-01","Aravind - Hostel Fee for Feb",4000,,4000
"2024-02-08","Aravind - Hostel Fee for Feb refund",,2000,-2000
"2024-02-09","Employee Uniform purchase",4170,,4170
"2024-02-14","surya  Hostel Fee refund",250,,250
"2024-02-15","Employee Uniform purchase",800,,800
"2023-12-29","Calcutta Employee Travel expenses",7400,,7400
"2023-12-02","Equipment Purchase advance",45000,,45000
"2023-12-09","Equipment Purchase advance
",45000,,45000
"2023-12-12","Equipment Purchase advance",23426,,23426
"2023-12-16","SSN - Kitchen Equipment purchases",,113426,-113426
"2024-01-08","Fire Extinguisher - 6 Kg purchase",1850,,1850
"2023-12-22","FSSAI License",5000,,5000
"2023-12-20","Pet Pooja Software and Paytm Machine",8850,,8850
"2024-01-06","cash separator",545.3,,545.3
"2024-01-17","Tissue Box - Amazon",1185,,1185
"2024-02-09","Furniture - Table purchase",2000,,2000
"2023-09-17","Rental Deposit and Rental Advance",,1000,-1000
"2023-09-18","Loan from Giri",,25000,-25000
"2023-09-25","Loan from Giri",,20000,-20000
"2023-10-04","Loan from Giri",,50000,-50000
"2023-10-05","Loan from Giri",,35000,-35000
